# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.342963853135e-10       4.099695155502e-15       3.511826320971e-13       0.000000000000e+00       7.971230082395e-09       4.246103965124e-10      -1.822572974679e-12 
    3       1.275623240645e-10       5.498989870949e-15       3.988579960855e-13       0.000000000000e+00       4.828656041361e-09       2.988969076963e-10      -1.417454670335e-12 
    4       1.210836183796e-10       5.009410716760e-15       3.777702120798e-13       0.000000000000e+00       3.319038199327e-09       2.247861614630e-10      -9.647087201217e-13 
    5       1.162427621702e-10       3.532876305929e-15       3.259859618271e-13       0.000000000000e+00       2.453705241180e-09       1.763331478280e-10      -5.713966677759e-13 
    6       1.129654742852e-10       2.069887438157e-15       2.658770635558e-13       0.000000000000e+00       1.900179226085e-09       1.424875342877e-10      -2.688776595077e-13 
    7       1.109237165872e-10       1.124464728575e-15       2.107488859685e-13       0.000000000000e+00       1.520812967163e-09       1.177615302802e-10      -6.296070634619e-14 
    8       1.098252334897e-10       6.911693824414e-16       1.667978057631e-13       0.000000000000e+00       1.247540575218e-09       9.905981425938e-11       5.527451118287e-14 
    9       1.094419658404e-10       5.399089265720e-16       1.359317022655e-13       0.000000000000e+00       1.043146627166e-09       8.454085007439e-11       1.031603737685e-13 
   10       1.095576881783e-10       4.696344020015e-16       1.174503848036e-13       0.000000000000e+00       8.857862539984e-10       7.308751973346e-11       1.019119513602e-13 
   11       1.101404648260e-10       4.006621138599e-16       1.091904728544e-13       0.000000000000e+00       7.562737397992e-10       6.472211405547e-11       7.297621306465e-14 
   12       1.110401630483e-10       3.388511890467e-16       1.083630671877e-13       0.000000000000e+00       6.578230248535e-10       5.698740173961e-11       3.411880578620e-14 
   13       1.121546391101e-10       3.066691331559e-16       1.123054113568e-13       0.000000000000e+00       5.772475816874e-10       5.069240921421e-11      -1.207791993452e-15 
   14       1.134661615499e-10       3.068782358486e-16       1.188981602941e-13       0.000000000000e+00       5.104126588437e-10       4.518823420768e-11      -2.599145852499e-14 
   15       1.149998580335e-10       3.264201539583e-16       1.266243034676e-13       0.000000000000e+00       4.543282292292e-10       4.058706809091e-11      -3.761957159993e-14 
   16       1.166318901085e-10       3.545263550239e-16       1.345362276851e-13       0.000000000000e+00       4.067860844674e-10       3.671802387766e-11      -3.763606400833e-14 
   17       1.184026772753e-10       3.916119036722e-16       1.423114424865e-13       0.000000000000e+00       3.661235972197e-10       3.336983612538e-11      -2.984374785567e-14 
   18       1.202579391395e-10       4.451128107729e-16       1.499868954158e-13       0.000000000000e+00       3.309385242841e-10       3.039634851940e-11      -1.888897478426e-14 
   19       1.222100701192e-10       5.187795013486e-16       1.577832146949e-13       0.000000000000e+00       3.006320004078e-10       2.778548145327e-11      -8.204689903273e-15 
   20       1.242533374994e-10       6.138587367706e-16       1.659627392188e-13       0.000000000000e+00       2.740196891386e-10       2.550181250546e-11      -1.012688285419e-15 
   21       1.263832340481e-10       7.286449325625e-16       1.746272266750e-13       0.000000000000e+00       2.506626860645e-10       2.350612468508e-11       1.823520286716e-15 
   22       1.285671474212e-10       8.601646018114e-16       1.837688324316e-13       0.000000000000e+00       2.299797257719e-10       2.172411195915e-11       5.999193186343e-16 
   23       1.308163594211e-10       1.008782608337e-15       1.932064150940e-13       0.000000000000e+00       2.116796786716e-10       2.012716213491e-11      -3.407357354822e-15 
   24       1.331329084944e-10       1.175628926629e-15       2.026307837126e-13       0.000000000000e+00       1.953304915178e-10       1.868419575120e-11      -8.311421811547e-15 
   25       1.355063197010e-10       1.360457755765e-15       2.116618690617e-13       0.000000000000e+00       1.806998827396e-10       1.739304469594e-11      -1.260057314587e-14 
   26       1.379105222566e-10       1.562674620838e-15       2.198948435142e-13       0.000000000000e+00       1.674912197772e-10       1.624663599811e-11      -1.493973227797e-14 
   27       1.403562469411e-10       1.783306402842e-15       2.271879986943e-13       0.000000000000e+00       1.556292302363e-10       1.522924156845e-11      -1.523465112458e-14 
   28       1.428516797961e-10       2.024035448372e-15       2.334902673966e-13       0.000000000000e+00       1.449632696070e-10       1.430537462141e-11      -1.391079927781e-14 
   29       1.453915587267e-10       2.286649747024e-15       2.387716129057e-13       0.000000000000e+00       1.352258522257e-10       1.343059288094e-11      -1.156985482149e-14 
   30       1.479808776696e-10       2.572520163176e-15       2.430333171154e-13       0.000000000000e+00       1.263586398306e-10       1.260960432006e-11      -8.831122988148e-15 
   31       1.506169455073e-10       2.882925792468e-15       2.463053100495e-13       0.000000000000e+00       1.182917306562e-10       1.185950368075e-11      -6.454942313889e-15 
   32       1.532877450515e-10       3.219111162014e-15       2.486324078768e-13       0.000000000000e+00       1.108925504342e-10       1.119090033581e-11      -5.184046292880e-15 
   33       1.559941969238e-10       3.582016101616e-15       2.500275804843e-13       0.000000000000e+00       1.041176112969e-10       1.059540043901e-11      -4.993876139430e-15 
   34       1.587337319944e-10       3.972437959789e-15       2.505032729258e-13       0.000000000000e+00       9.790370317914e-11       1.005219396037e-11      -5.561766671833e-15 
   35       1.614987553083e-10       4.391136380995e-15       2.500583760021e-13       0.000000000000e+00       9.215456622687e-11       9.537725504849e-12      -6.506415266706e-15 
   36       1.642955241521e-10       4.838977705094e-15       2.485888536920e-13       0.000000000000e+00       8.685323392637e-11       9.050929922028e-12      -7.572497899092e-15 
   37       1.671303504227e-10       5.316832751117e-15       2.459446270810e-13       0.000000000000e+00       8.198130236258e-11       8.596007003600e-12      -8.500584665627e-15 
