# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.342967770555e-10       4.099849378479e-15       3.511826292061e-13       1.542228971599e-19       7.971230082395e-09       4.246103965124e-10      -1.822572974679e-12 
    3       1.275631054804e-10       5.499298378775e-15       3.988579831894e-13       3.085070375345e-19       4.828656041361e-09       2.988969076963e-10      -1.417454670335e-12 
    4       1.210849162031e-10       5.009925034675e-15       3.777701749783e-13       5.143140335759e-19       3.319038199327e-09       2.247861614630e-10      -9.647087201217e-13 
    5       1.162447005412e-10       3.533648043526e-15       3.259858771759e-13       7.717242583719e-19       2.453705241180e-09       1.763331478280e-10      -5.713966677759e-13 
    6       1.129681742368e-10       2.070968311739e-15       2.658768968000e-13       1.080837047666e-18       1.900179226085e-09       1.424875342877e-10      -2.688776595077e-13 
    7       1.109272956169e-10       1.125906583944e-15       2.107485894104e-13       1.441769923315e-18       1.520812967163e-09       1.177615302802e-10      -6.296070634619e-14 
    8       1.098298052228e-10       6.930242178266e-16       1.667973167857e-13       1.854657642378e-18       1.247540575218e-09       9.905981425938e-11       5.527451118287e-14 
    9       1.094476397928e-10       5.422289152400e-16       1.359309417290e-13       2.319651065929e-18       1.043146627166e-09       8.454085007439e-11       1.031603737685e-13 
   10       1.095645696216e-10       4.724719139508e-16       1.174492556266e-13       2.836915844041e-18       8.857862539984e-10       7.308751973346e-11       1.019119513602e-13 
   11       1.101486547539e-10       4.040697358600e-16       1.091888587890e-13       3.406630916938e-18       7.562737397992e-10       6.472211405547e-11       7.297621306465e-14 
   12       1.110497582398e-10       3.428817421900e-16       1.083608317925e-13       4.028986836893e-18       6.578230248535e-10       5.698740173961e-11       3.411880578620e-14 
   13       1.121657322821e-10       3.113756870310e-16       1.123023971698e-13       4.704183920980e-18       5.772475816874e-10       5.069240921421e-11      -1.207791993452e-15 
   14       1.134788415885e-10       3.123141184331e-16       1.188941882021e-13       5.432430251004e-18       5.104126588437e-10       4.518823420768e-11      -2.599145852499e-14 
   15       1.150142102906e-10       3.326389563765e-16       1.266191722672e-13       6.213939543585e-18       4.543282292292e-10       4.058706809091e-11      -3.761957159993e-14 
   16       1.166479967490e-10       3.615819304148e-16       1.345297138279e-13       7.048928920110e-18       4.067860844674e-10       3.671802387766e-11      -3.763606400833e-14 
   17       1.184206176575e-10       3.995583595667e-16       1.423032999978e-13       7.937616612761e-18       3.661235972197e-10       3.336983612538e-11      -2.984374785567e-14 
