# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062576367506e-05       4.576841534788e+01 
       2.477342613381e-05       1.037220255867e+02 
       3.897834212793e-05       1.607327929154e+02 
       5.328663042570e-05       2.174383189419e+02 
       6.774529933058e-05       2.742113752173e+02 
       8.240275192580e-05       3.313407397418e+02 
       9.730931017152e-05       3.890807125909e+02 
       1.125177661467e-04       4.476716150092e+02 
       1.280839687759e-04       5.073505042193e+02 
       1.440674544074e-04       5.683580272009e+02 
       1.605321295279e-04       6.309434488428e+02 
       1.775470136018e-04       6.953688471792e+02 
       1.951870493360e-04       7.619128818700e+02 
       2.135339863773e-04       8.308744215341e+02 
       2.326773422361e-04       9.025761413938e+02 
       2.527154406738e-04       9.773681541271e+02 
       2.737565223589e-04       1.055631640080e+03 
       2.959199145850e-04       1.137782517800e+03 
       3.193372354188e-04       1.224274985197e+03 
       3.441535918484e-04       1.315604738288e+03 
       3.705287103680e-04       1.412311738752e+03 
       3.986379111697e-04       1.514982040830e+03 
       4.286728035099e-04       1.624248283641e+03 
       4.608415407949e-04       1.740788221844e+03 
       4.953684324308e-04       1.865320566636e+03 
       5.324926714982e-04       1.998597311261e+03 
       5.724659129432e-04       2.141391643774e+03 
       6.155484409467e-04       2.294480657304e+03 
       6.620037148827e-04       2.458622406351e+03 
       7.120911995211e-04       2.634527122811e+03 
       7.660575789499e-04       2.822823503919e+03 
       8.241267204753e-04       3.024021687322e+03 
       8.864890628833e-04       3.238475805002e+03 
       9.532913896528e-04       3.466349727383e+03 
       1.024628125546e-03       3.707590323868e+03 
       1.100535280364e-03       3.961912256797e+03 
       1.180987911664e-03       4.228796864650e+03 
       1.265901514724e-03       4.507506527326e+03 
       1.355137174156e-03       4.797112695070e+03 
       1.448509772705e-03       5.096534786469e+03 
       1.545798183006e-03       5.404584615892e+03 
       1.646756239881e-03       5.720012272572e+03 
       1.751123395820e-03       6.041547861149e+03 
       1.858634228955e-03       6.367938048246e+03 
       1.969026304546e-03       6.697974583577e+03 
       2.082046203730e-03       7.030515529768e+03 
       2.197453775268e-03       7.364499374025e+03 
       2.315024820245e-03       7.698952747787e+03 
       2.434552493764e-03       8.032993208109e+03 
       2.555847721782e-03       8.365860958972e+03 
       2.678738907620e-03       8.696836248705e+03 
       2.803071160163e-03       9.025282488104e+03 
       2.928705227710e-03       9.350650059836e+03 
       3.055516275761e-03       9.672458140444e+03 
       3.183392607801e-03       9.990288155784e+03 
       3.312234396542e-03       1.030377757623e+04 
       3.441952468942e-03       1.061261407340e+04 
       3.572467170570e-03       1.091653021141e+04 
       3.703707322365e-03       1.121529880791e+04 
       3.835609274266e-03       1.150872842159e+04 
       3.968116054663e-03       1.179665971820e+04 
       4.101176611183e-03       1.207896187857e+04 
       4.234745136359e-03       1.235552982550e+04 
       4.368780470878e-03       1.262628125924e+04 
       4.503245576768e-03       1.289115441461e+04 
       4.638107073127e-03       1.315010574659e+04 
       4.773334827345e-03       1.340310787097e+04 
       4.908901595360e-03       1.365014827496e+04 
       5.044782705062e-03       1.389122718215e+04 
       5.180955777582e-03       1.412635555850e+04 
       5.317400481781e-03       1.435555526416e+04 
       5.454098317813e-03       1.457885696565e+04 
       5.591032426126e-03       1.479629850297e+04 
       5.728187418715e-03       1.500792399776e+04 
       5.865549229868e-03       1.521378786482e+04 
       6.003104983955e-03       1.541395082497e+04 
       6.140842878178e-03       1.560846698939e+04 
       6.278752078414e-03       1.579741087615e+04 
       6.416822626581e-03       1.598085151934e+04 
       6.555045358107e-03       1.615886836264e+04 
       6.693411828305e-03       1.633152607802e+04 
       6.831914246593e-03       1.649892017083e+04 
       6.970545417626e-03       1.666112313231e+04 
       7.109298688547e-03       1.681821980551e+04 
       7.248167901650e-03       1.697029574356e+04 
       7.387147351823e-03       1.711743689152e+04 
       7.526231748259e-03       1.725972951039e+04 
       7.665416179937e-03       1.739725988600e+04 
       7.804696084460e-03       1.753011371211e+04 
       7.944067219907e-03       1.765838128649e+04 
       8.083525639338e-03       1.778214580906e+04 
       8.223067667704e-03       1.790149706325e+04 
       8.362689880892e-03       1.801651956745e+04 
       8.502389086682e-03       1.812729988920e+04 
       8.642162307429e-03       1.823391990700e+04 
       8.782006764290e-03       1.833646569451e+04 
       8.921919862843e-03       1.843501920263e+04 
       9.061899179957e-03       1.852966394968e+04 
       9.201942451795e-03       1.862047937399e+04 
       9.342047562837e-03       1.870754544246e+04 
       9.482212535833e-03       1.879093939125e+04 
       9.622435522582e-03       1.887073935293e+04 
       9.762714795484e-03       1.894701990269e+04 
       9.903048739768e-03       1.901985546210e+04 
       1.004343584636e-02       1.908931894186e+04 
       1.018387470530e-02       1.915548006093e+04 
       1.032436399971e-02       1.921841138591e+04 
       1.046490250022e-02       1.927817822166e+04 
       1.060548905979e-02       1.933485015040e+04 
       1.074612260902e-02       1.938849034785e+04 
       1.088680215171e-02       1.943916579174e+04 
       1.102752676084e-02       1.948693808573e+04 
       1.116829557482e-02       1.953186908096e+04 
       1.130910779400e-02       1.957401929940e+04 
       1.144996267749e-02       1.961344678766e+04 
       1.159085954016e-02       1.965020980074e+04 
       1.173179774988e-02       1.968436434693e+04 
       1.187277672498e-02       1.971596436549e+04 
       1.201379593187e-02       1.974506428044e+04 
       1.215485488285e-02       1.977171562584e+04 
       1.229595313403e-02       1.979597022806e+04 
       1.243709028349e-02       1.981787801992e+04 
       1.257826596949e-02       1.983748681061e+04 
       1.271947986882e-02       1.985484698062e+04 
       1.286073169535e-02       1.987000479047e+04 
       1.300202119852e-02       1.988300488465e+04 
       1.314334816213e-02       1.989389328261e+04 
       1.328471240309e-02       1.990271550328e+04 
       1.342611377027e-02       1.990951516778e+04 
       1.356755214352e-02       1.991433385861e+04 
       1.370902743265e-02       1.991721244768e+04 
       1.385053957655e-02       1.991818973782e+04 
       1.399208854242e-02       1.991730520713e+04 
       1.413367432490e-02       1.991459600908e+04 
       1.427529694549e-02       1.991010114231e+04 
       1.441695645179e-02       1.990385815018e+04 
       1.455865291700e-02       1.989590187481e+04 
       1.470038643932e-02       1.988627020876e+04 
       1.484215714145e-02       1.987499568459e+04 
       1.498396517018e-02       1.986211452173e+04 
       1.512581069591e-02       1.984765913331e+04 
       1.526769391237e-02       1.983166222838e+04 
       1.540961503617e-02       1.981415622371e+04 
       1.555157430661e-02       1.979517065192e+04 
       1.569357198533e-02       1.977473864928e+04 
       1.583560835612e-02       1.975288922828e+04 
       1.597768372471e-02       1.972965256703e+04 
       1.611979841861e-02       1.970505630995e+04 
       1.626195278690e-02       1.967913072641e+04 
