# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.339784110927e-10       4.094097990862e-15       3.507030227389e-13       1.350175274398e-19       7.831257797908e-09       4.188877211628e-10      -1.821249897097e-12 
    3       1.271805802408e-10       5.490163060147e-15       3.980377381160e-13       2.700916285942e-19       4.730873022331e-09       2.938886302538e-10      -1.415999847865e-12 
    4       1.206319821313e-10       5.000023610823e-15       3.766807241464e-13       4.502778545410e-19       3.244495028309e-09       2.203837907838e-10      -9.633306706873e-13 
    5       1.157068298548e-10       3.524624200965e-15       3.247117945096e-13       6.756500251762e-19       2.393896162352e-09       1.724405147480e-10      -5.701366915380e-13 
    6       1.123297414056e-10       2.063497405740e-15       2.644906204802e-13       9.462990252226e-19       1.850586451394e-09       1.390277479524e-10      -2.677018456016e-13 
    7       1.101722830351e-10       1.120245251839e-15       2.092897087473e-13       1.262331884678e-18       1.478705544606e-09       1.146703614171e-10      -6.179979611854e-14 
    8       1.089433780542e-10       6.891543370447e-16       1.652643953049e-13       1.623870684294e-18       1.211162686807e-09       9.628771842526e-11       5.649526796800e-14 
    9       1.084181139689e-10       5.395967477943e-16       1.342815324524e-13       2.031051293005e-18       1.011310927931e-09       8.204911114474e-11       1.044946828824e-13 
   10       1.083815533141e-10       4.698804003732e-16       1.156106123348e-13       2.484021946874e-18       8.576384501747e-10       7.084094505083e-11       1.033740693544e-13 
   11       1.088016410227e-10       4.000277870561e-16       1.070702103457e-13       2.982941682187e-18       7.313325839959e-10       6.268529092354e-11       7.451150970693e-14 
   12       1.095324134995e-10       3.361886627963e-16       1.058666663440e-13       3.527978638855e-18       6.353919961059e-10       5.513931454682e-11       3.568697503717e-14 
   13       1.104719102941e-10       3.014744965887e-16       1.093446846864e-13       4.119308253992e-18       5.569559510881e-10       4.901482375323e-11       2.940145329240e-16 
   14       1.116054548059e-10       2.991691177925e-16       1.153994418714e-13       4.757111369428e-18       4.919638473102e-10       4.366566934481e-11      -2.464078834266e-14 
   15       1.129555408156e-10       3.163019025404e-16       1.225342757817e-13       5.441572280751e-18       4.374812081531e-10       3.920165833255e-11      -3.649041939391e-14 
   16       1.144042359278e-10       3.417999518260e-16       1.298222514766e-13       6.172876759010e-18       3.913423791911e-10       3.545344263340e-11      -3.676068434071e-14 
   17       1.159899248394e-10       3.756517837322e-16       1.369510723514e-13       6.951210079320e-18       3.519177582063e-10       3.221493385567e-11      -2.920976036641e-14 
   18       1.176602540896e-10       4.249958246984e-16       1.439661070967e-13       7.776755115674e-18       3.178348574260e-10       2.934315580368e-11      -1.844314684026e-14 
   19       1.194285515830e-10       4.934995399026e-16       1.510896088202e-13       8.649690381857e-18       2.885048400476e-10       2.682455119339e-11      -7.869168319362e-15 
   20       1.212890233077e-10       5.823977712618e-16       1.585817410894e-13       9.570188521195e-18       2.627718336306e-10       2.462300134933e-11      -6.960354223365e-16 
   21       1.232378347502e-10       6.899366513112e-16       1.665429469110e-13       1.053841456812e-17       2.402054925256e-10       2.270069873065e-11       2.202710595879e-15 
