# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.342958668949e-10       4.099666545505e-15       3.511797414323e-13       0.000000000000e+00       7.966468673225e-09       4.245354990710e-10      -1.822554654537e-12 
    3       1.275625208970e-10       5.498944095970e-15       3.988523780855e-13       0.000000000000e+00       4.825268050744e-09       2.988339402800e-10      -1.417432654789e-12 
    4       1.210846010562e-10       5.009361122366e-15       3.777635011374e-13       0.000000000000e+00       3.316405962452e-09       2.247338913392e-10      -9.646847580324e-13 
    5       1.162445298105e-10       3.532836426844e-15       3.259805051373e-13       0.000000000000e+00       2.451567433337e-09       1.762902157283e-10      -5.713719467161e-13 
    6       1.129680173745e-10       2.069866079134e-15       2.658747031246e-13       0.000000000000e+00       1.898390306448e-09       1.424527289663e-10      -2.688529239066e-13 
    7       1.109269695847e-10       1.124464019697e-15       2.107502359638e-13       0.000000000000e+00       1.519281324529e-09       1.177338141571e-10      -6.293619561608e-14 
    8       1.098290903159e-10       6.911851345750e-16       1.668024127157e-13       0.000000000000e+00       1.246206712062e-09       9.903833830220e-11       5.529884337980e-14 
    9       1.094463422727e-10       5.399328302569e-16       1.359382858937e-13       0.000000000000e+00       1.041969820707e-09       8.452490346148e-11       1.031846564234e-13 
   10       1.095625302982e-10       4.696572546342e-16       1.174572257282e-13       0.000000000000e+00       8.847367312648e-10       7.307647034620e-11       1.019363389456e-13 
   11       1.101457303340e-10       4.006764499979e-16       1.091960410747e-13       0.000000000000e+00       7.553446658050e-10       6.471556174104e-11       7.300077372098e-14 
