# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.342962574444e-10       4.099820360385e-15       3.511797385496e-13       1.538148003471e-19       7.966468673225e-09       4.245354990710e-10      -1.822554654537e-12 
    3       1.275632999311e-10       5.499251787401e-15       3.988523652264e-13       3.076906427908e-19       4.825268050744e-09       2.988339402800e-10      -1.417432654789e-12 
    4       1.210858949172e-10       5.009874079178e-15       3.777634641422e-13       5.129529321978e-19       3.316405962452e-09       2.247338913392e-10      -9.646847580324e-13 
    5       1.162464622511e-10       3.533606121961e-15       3.259804207285e-13       7.696817830227e-19       2.451567433337e-09       1.762902157283e-10      -5.713719467161e-13 
    6       1.129707090460e-10       2.070944091869e-15       2.658745368458e-13       1.077976215687e-18       1.898390306448e-09       1.424527289663e-10      -2.688529239066e-13 
    7       1.109305376087e-10       1.125902058493e-15       2.107499402524e-13       1.437953385000e-18       1.519281324529e-09       1.177338141571e-10      -6.293619561608e-14 
    8       1.098336479483e-10       6.930350598836e-16       1.668019251317e-13       1.849747634872e-18       1.246206712062e-09       9.903833830220e-11       5.529884337980e-14 
    9       1.094519986675e-10       5.422466771068e-16       1.359375275197e-13       2.313509373237e-18       1.041969820707e-09       8.452490346148e-11       1.031846564234e-13 
   10       1.095693903729e-10       4.724872542929e-16       1.174560997544e-13       2.829403763484e-18       8.847367312648e-10       7.307647034620e-11       1.019363389456e-13 
   11       1.101538947363e-10       4.040750499864e-16       1.091944315764e-13       3.397609232183e-18       7.553446658050e-10       6.471556174104e-11       7.300077372098e-14 
   12       1.110553681611e-10       3.428730380716e-16       1.083640063847e-13       4.018315797529e-18       6.569802984104e-10       5.698470894100e-11       3.414364840464e-14 
   13       1.121716573256e-10       3.113535622977e-16       1.123029032744e-13       4.691723228419e-18       5.764785812092e-10       5.069318667276e-11      -1.182827787576e-15 
   14       1.134850372896e-10       3.122825887699e-16       1.188927090867e-13       5.418039050342e-18       5.097073164639e-10       4.519213136091e-11      -2.596666397953e-14 
   15       1.150206369537e-10       3.326033442735e-16       1.266168549921e-13       6.197476420910e-18       4.536783834885e-10       4.059375452573e-11      -3.759525191415e-14 
   16       1.166546224515e-10       3.615472602854e-16       1.345277851810e-13       7.030251904607e-18       4.061850260341e-10       3.672720566146e-11      -3.761243765661e-14 
   17       1.184274148864e-10       3.995282842672e-16       1.423027025339e-13       7.916583182898e-18       3.655657454543e-10       3.338126980141e-11      -2.982090944449e-14 
   18       1.202847140535e-10       4.539798236747e-16       1.499781594759e-13       8.856686804833e-18       3.304193129600e-10       3.040981929616e-11      -1.886690095670e-14 
   19       1.222389260183e-10       5.286501683140e-16       1.577741670076e-13       9.850775583091e-18       3.001471730566e-10       2.780077595632e-11      -8.183260015608e-15 
