# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062576367506e-05       4.576849098611e+01 
       2.477342613381e-05       1.037221953861e+02 
       3.897834212793e-05       1.607330634921e+02 
       5.328663042570e-05       2.174386821744e+02 
       6.774529933058e-05       2.742118266149e+02 
       8.240275192580e-05       3.313412652907e+02 
       9.730931017152e-05       3.890813207361e+02 
       1.125177661467e-04       4.476722919710e+02 
       1.280839687759e-04       5.073512443100e+02 
       1.440674544074e-04       5.683588201210e+02 
       1.605321295279e-04       6.309442873976e+02 
       1.775470136018e-04       6.953697150208e+02 
       1.951870493360e-04       7.619137610944e+02 
       2.135339863773e-04       8.308752936810e+02 
       2.326773422361e-04       9.025769849220e+02 
       2.527154406738e-04       9.773689323920e+02 
       2.737565223589e-04       1.055632319232e+03 
       2.959199145850e-04       1.137783054280e+03 
       3.193372354188e-04       1.224275312441e+03 
       3.441535918484e-04       1.315604788024e+03 
       3.705287103680e-04       1.412311423552e+03 
       3.986379111697e-04       1.514981249735e+03 
       4.286728035099e-04       1.624246875309e+03 
       4.608415407949e-04       1.740786022109e+03 
       4.953684324308e-04       1.865317358212e+03 
       5.324926714982e-04       1.998592818700e+03 
       5.724659129432e-04       2.141385516389e+03 
       6.155484409467e-04       2.294472468752e+03 
       6.620037148827e-04       2.458611610859e+03 
       7.120911995211e-04       2.634513040597e+03 
       7.660575789499e-04       2.822805298213e+03 
       8.241267204753e-04       3.023998330406e+03 
       8.864890628833e-04       3.238446011804e+03 
       9.532913896528e-04       3.466311934119e+03 
       1.024628125546e-03       3.707542673341e+03 
       1.100535280364e-03       3.961852503767e+03 
       1.180987911664e-03       4.228722397334e+03 
       1.265901514724e-03       4.507414227686e+03 
       1.355137174156e-03       4.796999025840e+03 
       1.448509772705e-03       5.096395639661e+03 
       1.545798183006e-03       5.404415479309e+03 
       1.646756239881e-03       5.719807951843e+03 
       1.751123395820e-03       6.041302733365e+03 
       1.858634228955e-03       6.367645903368e+03 
       1.969026304546e-03       6.697628707395e+03 
       2.082046203730e-03       7.030108714581e+03 
       2.197453775268e-03       7.364023892723e+03 
       2.315024820245e-03       7.698400409780e+03 
       2.434552493764e-03       8.032355381398e+03 
       2.555847721782e-03       8.365128573302e+03 
       2.678738907620e-03       8.695999868792e+03 
       2.803071160163e-03       9.024332291047e+03 
       2.928705227710e-03       9.349575904115e+03 
       3.055516275761e-03       9.671249572201e+03 
       3.183392607801e-03       9.988934449970e+03 
       3.312234396542e-03       1.030226773501e+04 
       3.441952468942e-03       1.061093689630e+04 
       3.572467170570e-03       1.091467431879e+04 
       3.703707322365e-03       1.121325256372e+04 
       3.835609274266e-03       1.150648013401e+04 
       3.968116054663e-03       1.179419756518e+04 
       4.101176611183e-03       1.207627395868e+04 
       4.234745136359e-03       1.235260409298e+04 
       4.368780470878e-03       1.262310563853e+04 
       4.503245576768e-03       1.288771677931e+04 
       4.638107073127e-03       1.314639400823e+04 
       4.773334827345e-03       1.339910993495e+04 
       4.908901595360e-03       1.364584149397e+04 
       5.044782705062e-03       1.388658471415e+04 
       5.180955777582e-03       1.412139117439e+04 
       5.317400481781e-03       1.435026880232e+04 
       5.454098317813e-03       1.457323141771e+04 
       5.591032426126e-03       1.479031838248e+04 
       5.728187418715e-03       1.500157700026e+04 
       5.865549229868e-03       1.520706619679e+04 
       6.003104983955e-03       1.540683568462e+04 
       6.140842878178e-03       1.560095109793e+04 
       6.278752078414e-03       1.578946238966e+04 
       6.416822626581e-03       1.597248209570e+04 
       6.555045358107e-03       1.615007268650e+04 
       6.693411828305e-03       1.632228742368e+04 
       6.831914246593e-03       1.648922090829e+04 
