# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062576367506e-05       4.576924844744e+01 
       2.477342613381e-05       1.037239176500e+02 
       3.897834212793e-05       1.607357483092e+02 
       5.328663042570e-05       2.174423455584e+02 
       6.774529933058e-05       2.742164989676e+02 
       8.240275192580e-05       3.313469908135e+02 
       9.730931017152e-05       3.890881579727e+02 
       1.125177661467e-04       4.476803150501e+02 
       1.280839687759e-04       5.073605447851e+02 
       1.440674544074e-04       5.683695094312e+02 
       1.605321295279e-04       6.309565000282e+02 
       1.775470136018e-04       6.953836124949e+02 
       1.951870493360e-04       7.619295369728e+02 
       2.135339863773e-04       8.308931798087e+02 
       2.326773422361e-04       9.025972592219e+02 
       2.527154406738e-04       9.773919286008e+02 
       2.737565223589e-04       1.055658439074e+03 
       2.959199145850e-04       1.137812782724e+03 
       3.193372354188e-04       1.224309236841e+03 
       3.441535918484e-04       1.315643622177e+03 
       3.705287103680e-04       1.412356037965e+03 
       3.986379111697e-04       1.515032709702e+03 
       4.286728035099e-04       1.624306488814e+03 
       4.608415407949e-04       1.740855399921e+03 
       4.953684324308e-04       1.865398489098e+03 
       5.324926714982e-04       1.998688163066e+03 
       5.724659129432e-04       2.141498121976e+03 
       6.155484409467e-04       2.294606112369e+03 
       6.620037148827e-04       2.458770969724e+03 
       7.120911995211e-04       2.634703896491e+03 
       7.660575789499e-04       2.823034775946e+03 
       8.241267204753e-04       3.024275170274e+03 
       8.864890628833e-04       3.238780872381e+03 
       9.532913896528e-04       3.466717718345e+03 
       1.024628125546e-03       3.708034867124e+03 
       1.100535280364e-03       3.962449512754e+03 
       1.180987911664e-03       4.229445866008e+03 
       1.265901514724e-03       4.508289324161e+03 
       1.355137174156e-03       4.798054677663e+03 
       1.448509772705e-03       5.097664709750e+03 
       1.545798183006e-03       5.405934874277e+03 
       1.646756239881e-03       5.721618661318e+03 
       1.751123395820e-03       6.043449802107e+03 
       1.858634228955e-03       6.370178341322e+03 
       1.969026304546e-03       6.700599345447e+03 
       2.082046203730e-03       7.033574014274e+03 
       2.197453775268e-03       7.368043718057e+03 
       2.315024820245e-03       7.703037768415e+03 
       2.434552493764e-03       8.037676141996e+03 
       2.555847721782e-03       8.371201175727e+03 
       2.678738907620e-03       8.702895000032e+03 
       2.803071160163e-03       9.032122556841e+03 
       2.928705227710e-03       9.358335501716e+03 
       3.055516275761e-03       9.681053957811e+03 
       3.183392607801e-03       9.999860007430e+03 
       3.312234396542e-03       1.031439144913e+04 
       3.441952468942e-03       1.062433603482e+04 
       3.572467170570e-03       1.092942612454e+04 
       3.703707322365e-03       1.122943396212e+04 
       3.835609274266e-03       1.152416745574e+04 
       3.968116054663e-03       1.181346628713e+04 
