# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.339780577607e-10       4.093962973266e-15       3.507030254388e-13       0.000000000000e+00       7.831257797908e-09       4.188877211628e-10      -1.821249897097e-12 
    3       1.271798754544e-10       5.489892967842e-15       3.980377501572e-13       0.000000000000e+00       4.730873022331e-09       2.938886302538e-10      -1.415999847865e-12 
    4       1.206308116055e-10       4.999573329636e-15       3.766807587785e-13       0.000000000000e+00       3.244495028309e-09       2.203837907838e-10      -9.633306706873e-13 
    5       1.157050816580e-10       3.523948539492e-15       3.247118734989e-13       0.000000000000e+00       2.393896162352e-09       1.724405147480e-10      -5.701366915380e-13 
    6       1.123273064233e-10       2.062551075366e-15       2.644907760181e-13       0.000000000000e+00       1.850586451394e-09       1.390277479524e-10      -2.677018456016e-13 
    7       1.101690553578e-10       1.118982846654e-15       2.092899852231e-13       0.000000000000e+00       1.478705544606e-09       1.146703614171e-10      -6.179979611854e-14 
    8       1.089392552794e-10       6.875303139268e-16       1.652648509224e-13       0.000000000000e+00       1.211162686807e-09       9.628771842526e-11       5.649526796800e-14 
    9       1.084129974128e-10       5.375654070674e-16       1.342822406743e-13       0.000000000000e+00       1.011310927931e-09       8.204911114474e-11       1.044946828824e-13 
   10       1.083753481298e-10       4.673958675698e-16       1.156116631422e-13       0.000000000000e+00       8.576384501747e-10       7.084094505083e-11       1.033740693544e-13 
   11       1.087942562260e-10       3.970439964051e-16       1.070717113064e-13       0.000000000000e+00       7.313325839959e-10       6.268529092354e-11       7.451150970693e-14 
   12       1.095237619071e-10       3.326593431394e-16       1.058687434852e-13       0.000000000000e+00       6.353919961059e-10       5.513931454682e-11       3.568697503717e-14 
   13       1.104619083798e-10       2.973531604632e-16       1.093474831714e-13       0.000000000000e+00       5.569559510881e-10       4.901482375323e-11       2.940145329240e-16 
   14       1.115940224866e-10       2.944090544171e-16       1.154031264856e-13       0.000000000000e+00       4.919638473102e-10       4.366566934481e-11      -2.464078834266e-14 
