# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062576367506e-05       4.576857602162e+01 
       2.477342613381e-05       1.037223388247e+02 
       3.897834212793e-05       1.607330779583e+02 
       5.328663042570e-05       2.174383081592e+02 
       6.774529933058e-05       2.742107133248e+02 
       8.240275192580e-05       3.313389497082e+02 
       9.730931017152e-05       3.890772184822e+02 
       1.125177661467e-04       4.476656803097e+02 
       1.280839687759e-04       5.073412327757e+02 
       1.440674544074e-04       5.683443274893e+02 
       1.605321295279e-04       6.309240041174e+02 
       1.775470136018e-04       6.953420589247e+02 
       1.951870493360e-04       7.618768186195e+02 
       2.135339863773e-04       8.308267494828e+02 
       2.326773422361e-04       9.025140327967e+02 
       2.527154406738e-04       9.772881645439e+02 
       2.737565223589e-04       1.055529585004e+03 
       2.959199145850e-04       1.137653286570e+03 
       3.193372354188e-04       1.224112305169e+03 
       3.441535918484e-04       1.315400917117e+03 
       3.705287103680e-04       1.412057293486e+03 
       3.986379111697e-04       1.514665252173e+03 
       4.286728035099e-04       1.623854628889e+03 
       4.608415407949e-04       1.740299668295e+03 
       4.953684324308e-04       1.864714682466e+03 
       5.324926714982e-04       1.997846151946e+03 
       5.724659129432e-04       2.140460393209e+03 
       6.155484409467e-04       2.293325963508e+03 
       6.620037148827e-04       2.457190335825e+03 
       7.120911995211e-04       2.632750800256e+03 
       7.660575789499e-04       2.820620311227e+03 
       8.241267204753e-04       3.021290122827e+03 
       8.864890628833e-04       3.235091982740e+03 
       9.532913896528e-04       3.462163662542e+03 
       1.024628125546e-03       3.702422183450e+03 
       1.100535280364e-03       3.955548614693e+03 
       1.180987911664e-03       4.220987378683e+03 
       1.265901514724e-03       4.497960998120e+03 
       1.355137174156e-03       4.785498983654e+03 
       1.448509772705e-03       5.082477442102e+03 
       1.545798183006e-03       5.387664691960e+03 
       1.646756239881e-03       5.699767728341e+03 
       1.751123395820e-03       6.017475416172e+03 
       1.858634228955e-03       6.339495568523e+03 
       1.969026304546e-03       6.664584398909e+03 
       2.082046203730e-03       6.991568532848e+03 
       2.197453775268e-03       7.319359257383e+03 
       2.315024820245e-03       7.646961277009e+03 
       2.434552493764e-03       7.973475082592e+03 
       2.555847721782e-03       8.298091760232e+03 
       2.678738907620e-03       8.620102253964e+03 
       2.803071160163e-03       8.938882045748e+03 
       2.928705227710e-03       9.253885780384e+03 
       3.055516275761e-03       9.564642297678e+03 
       3.183392607801e-03       9.870746691687e+03 
       3.312234396542e-03       1.017185560320e+04 
       3.441952468942e-03       1.046768025792e+04 
       3.572467170570e-03       1.075797877652e+04 
       3.703707322365e-03       1.104255499942e+04 
       3.835609274266e-03       1.132125111299e+04 
       3.968116054663e-03       1.159394390917e+04 
       4.101176611183e-03       1.186053886075e+04 
       4.234745136359e-03       1.212097345072e+04 
       4.368780470878e-03       1.237520464110e+04 
       4.503245576768e-03       1.262321288269e+04 
       4.638107073127e-03       1.286499782327e+04 
       4.773334827345e-03       1.310057384976e+04 
       4.908901595360e-03       1.332995471679e+04 
       5.044782705062e-03       1.355319270079e+04 
       5.180955777582e-03       1.377029651185e+04 
       5.317400481781e-03       1.398135528658e+04 
       5.454098317813e-03       1.418642539315e+04 
       5.591032426126e-03       1.438577361836e+04 
       5.728187418715e-03       1.457930961754e+04 
       5.865549229868e-03       1.476712770112e+04 
       6.003104983955e-03       1.494928589926e+04 
       6.140842878178e-03       1.512591583922e+04 
       6.278752078414e-03       1.529711377723e+04 
       6.416822626581e-03       1.546304137786e+04 
       6.555045358107e-03       1.562364423669e+04 
       6.693411828305e-03       1.577907733070e+04 
       6.831914246593e-03       1.592959811061e+04 
       6.970545417626e-03       1.607514677744e+04 
       7.109298688547e-03       1.621580434633e+04 
       7.248167901650e-03       1.635182012859e+04 
       7.387147351823e-03       1.648306108271e+04 
       7.526231748259e-03       1.660970421649e+04 
       7.665416179937e-03       1.673240732334e+04 
       7.804696084460e-03       1.685029233291e+04 
       7.944067219907e-03       1.696391348029e+04 
       8.083525639338e-03       1.707336571847e+04 
       8.223067667704e-03       1.717871799358e+04 
       8.362689880892e-03       1.728007698161e+04 
       8.502389086682e-03       1.737747700958e+04 
       8.642162307429e-03       1.747107796891e+04 
       8.782006764290e-03       1.756094228118e+04 
       8.921919862843e-03       1.764716207050e+04 
       9.061899179957e-03       1.772975478971e+04 
       9.201942451795e-03       1.780883252615e+04 
       9.342047562837e-03       1.788448013820e+04 
       9.482212535833e-03       1.795678341902e+04 
       9.622435522582e-03       1.802578663801e+04 
       9.762714795484e-03       1.809157721972e+04 
       9.903048739768e-03       1.815416348344e+04 
       1.004343584636e-02       1.821375214042e+04 
       1.018387470530e-02       1.827027172260e+04 
       1.032436399971e-02       1.832387808142e+04 
       1.046490250022e-02       1.837460093144e+04 
       1.060548905979e-02       1.842251016523e+04 
       1.074612260902e-02       1.846762811486e+04 
       1.088680215171e-02       1.851007298751e+04 
       1.102752676084e-02       1.854979573302e+04 
       1.116829557482e-02       1.858702630303e+04 
       1.130910779400e-02       1.862161631576e+04 
       1.144996267749e-02       1.865379859999e+04 
       1.159085954016e-02       1.868353696427e+04 
       1.173179774988e-02       1.871086343560e+04 
       1.187277672498e-02       1.873589968349e+04 
       1.201379593187e-02       1.875861585936e+04 
       1.215485488285e-02       1.877907396437e+04 
       1.229595313403e-02       1.879736274211e+04 
       1.243709028349e-02       1.881352015472e+04 
       1.257826596949e-02       1.882755276980e+04 
       1.271947986882e-02       1.883950472733e+04 
       1.286073169535e-02       1.884946965203e+04 
       1.300202119852e-02       1.885743601669e+04 
       1.314334816213e-02       1.886347056442e+04 
       1.328471240309e-02       1.886759941420e+04 
       1.342611377027e-02       1.886983681445e+04 
       1.356755214352e-02       1.887026966925e+04 
       1.370902743265e-02       1.886900211127e+04 
       1.385053957655e-02       1.886590547430e+04 
       1.399208854242e-02       1.886111176726e+04 
       1.413367432490e-02       1.885466927463e+04 
       1.427529694549e-02       1.884654912356e+04 
       1.441695645179e-02       1.883685635483e+04 
       1.455865291700e-02       1.882556721689e+04 
       1.470038643932e-02       1.881272654345e+04 
       1.484215714145e-02       1.879840905833e+04 
       1.498396517018e-02       1.878261963896e+04 
       1.512581069591e-02       1.876537723182e+04 
       1.526769391237e-02       1.874672020143e+04 
       1.540961503617e-02       1.872669836736e+04 
       1.555157430661e-02       1.870528908845e+04 
       1.569357198533e-02       1.868261694556e+04 
       1.583560835612e-02       1.865862993069e+04 
       1.597768372471e-02       1.863337912683e+04 
       1.611979841861e-02       1.860687515504e+04 
       1.626195278690e-02       1.857920986943e+04 
       1.640414720020e-02       1.855034034383e+04 
       1.654638205052e-02       1.852030351688e+04 
       1.668865775120e-02       1.848918674227e+04 
       1.683097473691e-02       1.845694714564e+04 
       1.697333346354e-02       1.842359831676e+04 
       1.711573440830e-02       1.838924356258e+04 
       1.725817806968e-02       1.835384293167e+04 
       1.740066496752e-02       1.831749475998e+04 
       1.754319564307e-02       1.828009672690e+04 
       1.768577065907e-02       1.824178487300e+04 
       1.782839059988e-02       1.820251197904e+04 
       1.797105607156e-02       1.816236944852e+04 
       1.811376770207e-02       1.812128310894e+04 
       1.825652614137e-02       1.807938830556e+04 
       1.839933206167e-02       1.803659543907e+04 
       1.854218615755e-02       1.799297576911e+04 
       1.868508914623e-02       1.794854986474e+04 
       1.882804176781e-02       1.790337151326e+04 
       1.897104478548e-02       1.785743253342e+04 
       1.911409898580e-02       1.781072333474e+04 
       1.925720517901e-02       1.776327774758e+04 
       1.940036419931e-02       1.771509724788e+04 
       1.954357690519e-02       1.766625981346e+04 
       1.968684417975e-02       1.761669566783e+04 
       1.983016693109e-02       1.756650586159e+04 
       1.997354609263e-02       1.751570255172e+04 
       2.011698262353e-02       1.746424760296e+04 
       2.026047750912e-02       1.741214802503e+04 
       2.040403176127e-02       1.735950983699e+04 
       2.054764641886e-02       1.730625820370e+04 
       2.069132254824e-02       1.725246358511e+04 
       2.083506124371e-02       1.719812583660e+04 
       2.097886362800e-02       1.714326212154e+04 
       2.112273085280e-02       1.708788051387e+04 
       2.126666409929e-02       1.703198502888e+04 
       2.141066457868e-02       1.697561893816e+04 
       2.155473353281e-02       1.691874989127e+04 
       2.169887223469e-02       1.686145025714e+04 
