# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062576367506e-05       4.576924148794e+01 
       2.477342613381e-05       1.037238560490e+02 
       3.897834212793e-05       1.607354546792e+02 
       5.328663042570e-05       2.174415737701e+02 
       6.774529933058e-05       2.742149158344e+02 
       8.240275192580e-05       3.313441558023e+02 
       9.730931017152e-05       3.890835148064e+02 
       1.125177661467e-04       4.476731756223e+02 
       1.280839687759e-04       5.073500609354e+02 
       1.440674544074e-04       5.683546513438e+02 
       1.605321295279e-04       6.309360204565e+02 
       1.775470136018e-04       6.953560047065e+02 
       1.951870493360e-04       7.618929787569e+02 
       2.135339863773e-04       8.308454665782e+02 
       2.326773422361e-04       9.025357192869e+02 
       2.527154406738e-04       9.773133178936e+02 
       2.737565223589e-04       1.055558806727e+03 
       2.959199145850e-04       1.137687306084e+03 
       3.193372354188e-04       1.224152009763e+03 
       3.441535918484e-04       1.315447389641e+03 
       3.705287103680e-04       1.412111859789e+03 
       3.986379111697e-04       1.514729540818e+03 
       4.286728035099e-04       1.623930646221e+03 
       4.608415407949e-04       1.740389892643e+03 
       4.953684324308e-04       1.864822181839e+03 
       5.324926714982e-04       1.997974730402e+03 
       5.724659129432e-04       2.140614771361e+03 
       6.155484409467e-04       2.293511998886e+03 
       6.620037148827e-04       2.457415288478e+03 
       7.120911995211e-04       2.633023647574e+03 
       7.660575789499e-04       2.820952113571e+03 
       8.241267204753e-04       3.021694438009e+03 
       8.864890628833e-04       3.235585322037e+03 
       9.532913896528e-04       3.462765975210e+03 
       1.024628125546e-03       3.703157350764e+03 
       1.100535280364e-03       3.956444929157e+03 
       1.180987911664e-03       4.222077980386e+03 
       1.265901514724e-03       4.499284241812e+03 
       1.355137174156e-03       4.787098711684e+03 
       1.448509772705e-03       5.084403144919e+03 
       1.545798183006e-03       5.389971546106e+03 
       1.646756239881e-03       5.702516510492e+03 
       1.751123395820e-03       6.020732297970e+03 
       1.858634228955e-03       6.343331804631e+03 
       1.969026304546e-03       6.669075923797e+03 
       2.082046203730e-03       6.996795483927e+03 
       2.197453775268e-03       7.325405442835e+03 
       2.315024820245e-03       7.653913605404e+03 
       2.434552493764e-03       7.981422969779e+03 
       2.555847721782e-03       8.307126514215e+03 
       2.678738907620e-03       8.630316494787e+03 
       2.803071160163e-03       8.950369116945e+03 
       2.928705227710e-03       9.266739181426e+03 
       3.055516275761e-03       9.578955151761e+03 
       3.183392607801e-03       9.886611246606e+03 
       3.312234396542e-03       1.018936277861e+04 
       3.441952468942e-03       1.048691923594e+04 
       3.572467170570e-03       1.077903663770e+04 
       3.703707322365e-03       1.106551641612e+04 
       3.835609274266e-03       1.134619809023e+04 
       3.968116054663e-03       1.162095557497e+04 
       4.101176611183e-03       1.188969129976e+04 
       4.234745136359e-03       1.215233960208e+04 
       4.368780470878e-03       1.240885420988e+04 
       4.503245576768e-03       1.265921230977e+04 
       4.638107073127e-03       1.290341028201e+04 
       4.773334827345e-03       1.314145926441e+04 
       4.908901595360e-03       1.337336969407e+04 
       5.044782705062e-03       1.359919087434e+04 
       5.180955777582e-03       1.381892834323e+04 
       5.317400481781e-03       1.403266830304e+04 
       5.454098317813e-03       1.424046423635e+04 
       5.591032426126e-03       1.444258061442e+04 
       5.728187418715e-03       1.463892411173e+04 
       5.865549229868e-03       1.482958654122e+04 
       6.003104983955e-03       1.501462347870e+04 
       6.140842878178e-03       1.519416435505e+04 
       6.278752078414e-03       1.536830326984e+04 
       6.416822626581e-03       1.553720000327e+04 
       6.555045358107e-03       1.570079778471e+04 
       6.693411828305e-03       1.585924984217e+04 
       6.831914246593e-03       1.601281230561e+04 
       6.970545417626e-03       1.616142320728e+04 
       7.109298688547e-03       1.630516183336e+04 
       7.248167901650e-03       1.644427636441e+04 
       7.387147351823e-03       1.657863141108e+04 
       7.526231748259e-03       1.670840272920e+04 
       7.665416179937e-03       1.683424870296e+04 
       7.804696084460e-03       1.695528625916e+04 
       7.944067219907e-03       1.707206985790e+04 
       8.083525639338e-03       1.718469309307e+04 
       8.223067667704e-03       1.729322349130e+04 
       8.362689880892e-03       1.739776643700e+04 
       8.502389086682e-03       1.749835469878e+04 
       8.642162307429e-03       1.759514725252e+04 
       8.782006764290e-03       1.768820510806e+04 
       8.921919862843e-03       1.777761923666e+04 
       9.061899179957e-03       1.786340559132e+04 
       9.201942451795e-03       1.794567525196e+04 
       9.342047562837e-03       1.802451198194e+04 
       9.482212535833e-03       1.810000051191e+04 
       9.622435522582e-03       1.817218390194e+04 
       9.762714795484e-03       1.824114864515e+04 
       9.903048739768e-03       1.830690179129e+04 
       1.004343584636e-02       1.836964978005e+04 
       1.018387470530e-02       1.842931955836e+04 
       1.032436399971e-02       1.848606662751e+04 
       1.046490250022e-02       1.853991977102e+04 
       1.060548905979e-02       1.859094801707e+04 
       1.074612260902e-02       1.863917303381e+04 
       1.088680215171e-02       1.868471256247e+04 
       1.102752676084e-02       1.872751636992e+04 
       1.116829557482e-02       1.876781467409e+04 
       1.130910779400e-02       1.880545747785e+04 
       1.144996267749e-02       1.884067804702e+04 
       1.159085954016e-02       1.887343922278e+04 
       1.173179774988e-02       1.890377249253e+04 
       1.187277672498e-02       1.893179932992e+04 
       1.201379593187e-02       1.895748886437e+04 
       1.215485488285e-02       1.898090276437e+04 
       1.229595313403e-02       1.900212962694e+04 
       1.243709028349e-02       1.902120671188e+04 
       1.257826596949e-02       1.903813996203e+04 
       1.271947986882e-02       1.905297277698e+04 
       1.286073169535e-02       1.906579879439e+04 
       1.300202119852e-02       1.907660553751e+04 
       1.314334816213e-02       1.908545926619e+04 
       1.328471240309e-02       1.909238538591e+04 
       1.342611377027e-02       1.909739743482e+04 
       1.356755214352e-02       1.910058200978e+04 
       1.370902743265e-02       1.910204311623e+04 
       1.385053957655e-02       1.910165021001e+04 
       1.399208854242e-02       1.909953552120e+04 
       1.413367432490e-02       1.909574676981e+04 
       1.427529694549e-02       1.909025397892e+04 
       1.441695645179e-02       1.908316203824e+04 
       1.455865291700e-02       1.907444620372e+04 
       1.470038643932e-02       1.906415106269e+04 
       1.484215714145e-02       1.905235110597e+04 
       1.498396517018e-02       1.903905045684e+04 
       1.512581069591e-02       1.902426758092e+04 
       1.526769391237e-02       1.900804052167e+04 
       1.540961503617e-02       1.899041897658e+04 
       1.555157430661e-02       1.897137947107e+04 
       1.569357198533e-02       1.895104719742e+04 
       1.583560835612e-02       1.892936926086e+04 
       1.597768372471e-02       1.890639683897e+04 
       1.611979841861e-02       1.888214033691e+04 
       1.626195278690e-02       1.885669187312e+04 
       1.640414720020e-02       1.883000814891e+04 
       1.654638205052e-02       1.880212602500e+04 
       1.668865775120e-02       1.877313357552e+04 
       1.683097473691e-02       1.874298721678e+04 
