# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062576367506e-05       4.576924948710e+01 
       2.477342613381e-05       1.037239211484e+02 
       3.897834212793e-05       1.607357449591e+02 
       5.328663042570e-05       2.174423412167e+02 
       6.774529933058e-05       2.742164958022e+02 
       8.240275192580e-05       3.313470002481e+02 
       9.730931017152e-05       3.890881685568e+02 
       1.125177661467e-04       4.476803369949e+02 
       1.280839687759e-04       5.073605794872e+02 
       1.440674544074e-04       5.683695619802e+02 
       1.605321295279e-04       6.309565712568e+02 
       1.775470136018e-04       6.953837109463e+02 
       1.951870493360e-04       7.619296709378e+02 
       2.135339863773e-04       8.308933558748e+02 
       2.326773422361e-04       9.025974842241e+02 
       2.527154406738e-04       9.773922209252e+02 
       2.737565223589e-04       1.055658809852e+03 
       2.959199145850e-04       1.137813247181e+03 
       3.193372354188e-04       1.224309826141e+03 
       3.441535918484e-04       1.315644360268e+03 
       3.705287103680e-04       1.412356956679e+03 
       3.986379111697e-04       1.515033850159e+03 
       4.286728035099e-04       1.624307904477e+03 
       4.608415407949e-04       1.740857154277e+03 
       4.953684324308e-04       1.865400659953e+03 
       5.324926714982e-04       1.998690850009e+03 
       5.724659129432e-04       2.141501454203e+03 
       6.155484409467e-04       2.294610237479e+03 
       6.620037148827e-04       2.458776083696e+03 
       7.120911995211e-04       2.634710241415e+03 
       7.660575789499e-04       2.823042643620e+03 
       8.241267204753e-04       3.024284913502e+03 
       8.864890628833e-04       3.238792946560e+03 
       9.532913896528e-04       3.466732675499e+03 
       1.024628125546e-03       3.708053342306e+03 
       1.100535280364e-03       3.962472289969e+03 
       1.180987911664e-03       4.229473829079e+03 
       1.265901514724e-03       4.508323571488e+03 
       1.355137174156e-03       4.798096413042e+03 
       1.448509772705e-03       5.097715376614e+03 
       1.545798183006e-03       5.405995976314e+03 
       1.646756239881e-03       5.721692033185e+03 
       1.751123395820e-03       6.043537352924e+03 
       1.858634228955e-03       6.370282215280e+03 
       1.969026304546e-03       6.700721844771e+03 
       2.082046203730e-03       7.033717597975e+03 
       2.197453775268e-03       7.368211039636e+03 
       2.315024820245e-03       7.703231634728e+03 
       2.434552493764e-03       8.037899506954e+03 
       2.555847721782e-03       8.371457152100e+03 
       2.678738907620e-03       8.703186807125e+03 
       2.803071160163e-03       9.032453561175e+03 
       2.928705227710e-03       9.358709166376e+03 
       3.055516275761e-03       9.681473855026e+03 
       3.183392607801e-03       1.000032979638e+04 
       3.312234396542e-03       1.031491489572e+04 
       3.441952468942e-03       1.062491695946e+04 
       3.572467170570e-03       1.093006839697e+04 
       3.703707322365e-03       1.123014159548e+04 
       3.835609274266e-03       1.152494442211e+04 
       3.968116054663e-03       1.181431660839e+04 
       4.101176611183e-03       1.209812617549e+04 
       4.234745136359e-03       1.237626668049e+04 
       4.368780470878e-03       1.264865426972e+04 
       4.503245576768e-03       1.291522545521e+04 
       4.638107073127e-03       1.317593481703e+04 
       4.773334827345e-03       1.343075296162e+04 
       4.908901595360e-03       1.367966524997e+04 
       5.044782705062e-03       1.392266967972e+04 
       5.180955777582e-03       1.415977490541e+04 
       5.317400481781e-03       1.439100041024e+04 
       5.454098317813e-03       1.461637443295e+04 
       5.591032426126e-03       1.483593235239e+04 
       5.728187418715e-03       1.504971580745e+04 
       5.865549229868e-03       1.525777673739e+04 
       6.003104983955e-03       1.546017339629e+04 
       6.140842878178e-03       1.565695745414e+04 
       6.278752078414e-03       1.584820103095e+04 
       6.416822626581e-03       1.603397080505e+04 
       6.555045358107e-03       1.621434393241e+04 
       6.693411828305e-03       1.638938285025e+04 
       6.831914246593e-03       1.655918091397e+04 
       6.970545417626e-03       1.672380854457e+04 
       7.109298688547e-03       1.688334857899e+04 
       7.248167901650e-03       1.703788466853e+04 
       7.387147351823e-03       1.718750093671e+04 
       7.526231748259e-03       1.733228191472e+04 
       7.665416179937e-03       1.747231224875e+04 
       7.804696084460e-03       1.760767608810e+04 
       7.944067219907e-03       1.773846227679e+04 
       8.083525639338e-03       1.786475265614e+04 
       8.223067667704e-03       1.798663574006e+04 
       8.362689880892e-03       1.810419486371e+04 
       8.502389086682e-03       1.821751549738e+04 
       8.642162307429e-03       1.832667850227e+04 
       8.782006764290e-03       1.843176901467e+04 
       8.921919862843e-03       1.853286811303e+04 
       9.061899179957e-03       1.863005851908e+04 
       9.201942451795e-03       1.872341892572e+04 
       9.342047562837e-03       1.881302861602e+04 
       9.482212535833e-03       1.889896418785e+04 
       9.622435522582e-03       1.898130319010e+04 
       9.762714795484e-03       1.906011964895e+04 
       9.903048739768e-03       1.913548747429e+04 
       1.004343584636e-02       1.920747910292e+04 
       1.018387470530e-02       1.927616379538e+04 
       1.032436399971e-02       1.934161370454e+04 
       1.046490250022e-02       1.940389371249e+04 
       1.060548905979e-02       1.946307302162e+04 
       1.074612260902e-02       1.951921441336e+04 
       1.088680215171e-02       1.957238450589e+04 
       1.102752676084e-02       1.962264452577e+04 
       1.116829557482e-02       1.967005595693e+04 
       1.130910779400e-02       1.971467895253e+04 
       1.144996267749e-02       1.975657118259e+04 
       1.159085954016e-02       1.979579052611e+04 
       1.173179774988e-02       1.983239260541e+04 
       1.187277672498e-02       1.986643096179e+04 
       1.201379593187e-02       1.989795962164e+04 
       1.215485488285e-02       1.992702970320e+04 
       1.229595313403e-02       1.995369262161e+04 
       1.243709028349e-02       1.997799788229e+04 
       1.257826596949e-02       1.999999285115e+04 
       1.271947986882e-02       2.001972748334e+04 
       1.286073169535e-02       2.003724758764e+04 
       1.300202119852e-02       2.005259734351e+04 
       1.314334816213e-02       2.006582232183e+04 
       1.328471240309e-02       2.007696759135e+04 
       1.342611377027e-02       2.008607631666e+04 
       1.356755214352e-02       2.009318961063e+04 
       1.370902743265e-02       2.009834790161e+04 
       1.385053957655e-02       2.010158950171e+04 
       1.399208854242e-02       2.010295345814e+04 
       1.413367432490e-02       2.010247647169e+04 
