# l   Dl_TT   Dl_TE   Dl_EE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.326852971117979223e+02 3.379758713909028489e-01 3.980700374798301980e-03
3.000000000000000000e+00 1.255341790246245210e+02 3.798508034516357990e-01 5.104248572088397953e-03
4.000000000000000000e+00 1.187703275888959240e+02 3.555103719799553863e-01 4.416458655784303439e-03
5.000000000000000000e+00 1.137041092723571296e+02 3.030917915862496037e-01 2.947516476935222070e-03
6.000000000000000000e+00 1.102186475998596364e+02 2.444242400575280527e-01 1.649464240544352457e-03
7.000000000000000000e+00 1.080007952341257464e+02 1.922140688099478467e-01 8.922952470790001438e-04
8.000000000000000000e+00 1.066622279817571837e+02 1.520870433984204684e-01 5.756814241828635097e-04
9.000000000000000000e+00 1.060227622421932239e+02 1.253299443694172455e-01 4.619864671822294304e-04
1.000000000000000000e+01 1.059053978870743009e+02 1.106545159934165384e-01 3.953833249856476243e-04
1.100000000000000000e+01 1.061534066009023860e+02 1.055506111330394708e-01 3.363699661623851134e-04
1.200000000000000000e+01 1.067456113240427698e+02 1.071270728427114877e-01 2.987205802452898989e-04
1.300000000000000000e+01 1.075493647790347893e+02 1.127153129208911531e-01 2.917815521835217976e-04
1.400000000000000000e+01 1.085050828382555608e+02 1.203699081736383791e-01 3.076944348983515556e-04
1.500000000000000000e+01 1.096381468071406147e+02 1.288509735128448297e-01 3.358276141761753261e-04
1.600000000000000000e+01 1.109182020355492284e+02 1.374788010919808234e-01 3.745275192852262972e-04
1.700000000000000000e+01 1.122771241162689222e+02 1.461147006039530127e-01 4.293142899171623560e-04
1.800000000000000000e+01 1.137302866195772992e+02 1.549049221395771836e-01 5.052870090214325698e-04
1.900000000000000000e+01 1.152856636104994124e+02 1.640639227675629308e-01 6.027693343411415390e-04
2.000000000000000000e+01 1.168882667156391761e+02 1.737756706773501969e-01 7.198980415215693431e-04
2.100000000000000000e+01 1.185498630727994254e+02 1.839464150664374409e-01 8.561073388232774261e-04
2.200000000000000000e+01 1.202727337150374183e+02 1.943298993455820634e-01 1.010972939925490911e-03
2.300000000000000000e+01 1.220512201585734715e+02 2.046695625598256574e-01 1.184734620301178916e-03
2.400000000000000000e+01 1.238579932941441939e+02 2.146525078453915547e-01 1.377699619994555069e-03
2.500000000000000000e+01 1.256970210675394810e+02 2.239464492766209958e-01 1.590211722809597343e-03
2.600000000000000000e+01 1.275688138256280126e+02 2.322314746283620224e-01 1.822788467660178694e-03
2.700000000000000000e+01 1.294807310491268879e+02 2.394599238292537402e-01 2.077166110473091694e-03
2.800000000000000000e+01 1.314320395724377306e+02 2.456847544396716099e-01 2.355488936552064400e-03
2.900000000000000000e+01 1.334256866664724441e+02 2.509336091582703987e-01 2.659322729242484529e-03
3.000000000000000000e+01 1.354525127214101019e+02 2.552485612111858870e-01 2.990093057985056084e-03
3.100000000000000000e+01 1.374934397243738715e+02 2.586831236710038229e-01 3.349140500895574600e-03
3.200000000000000000e+01 1.395528668087946187e+02 2.612309631095836027e-01 3.737273691678981175e-03
3.300000000000000000e+01 1.416353151022552197e+02 2.628713808057555612e-01 4.155030403831439303e-03
3.400000000000000000e+01 1.437386168829240205e+02 2.635619215412264849e-01 4.602914882675240675e-03
3.500000000000000000e+01 1.458644874688963284e+02 2.631486913145617001e-01 5.081869581220961260e-03
3.600000000000000000e+01 1.480099865559557486e+02 2.614214847773865258e-01 5.592962126239541323e-03
3.700000000000000000e+01 1.501685083149541811e+02 2.581833603136229893e-01 6.137213796846965885e-03
3.800000000000000000e+01 1.523458194213748413e+02 2.534169639023722276e-01 6.715438360985358582e-03
3.900000000000000000e+01 1.545482390070496024e+02 2.471734686182546215e-01 7.328345024000431848e-03
4.000000000000000000e+01 1.567777075637526423e+02 2.395301077919284871e-01 7.976576065623066855e-03
4.100000000000000000e+01 1.590328966593705786e+02 2.305630514080656279e-01 8.660717688890704966e-03
4.200000000000000000e+01 1.613141722068570800e+02 2.202515565686771204e-01 9.381347195913707082e-03
4.300000000000000000e+01 1.636194069496798988e+02 2.085453170053371552e-01 1.013899390062360066e-02
4.400000000000000000e+01 1.659421297956036483e+02 1.953901362228727678e-01 1.093412207062846586e-02
4.500000000000000000e+01 1.682748430262942918e+02 1.807303380656193892e-01 1.176715973737399099e-02
4.600000000000000000e+01 1.706210723654740491e+02 1.645177378660606093e-01 1.263860311990563749e-02
4.700000000000000000e+01 1.729862583122688875e+02 1.467047180396758854e-01 1.354893784537326666e-02
4.800000000000000000e+01 1.753741923740793709e+02 1.272414692997767272e-01 1.449860818014059478e-02
4.900000000000000000e+01 1.777868418491594582e+02 1.060757775290021993e-01 1.548801560070870234e-02
5.000000000000000000e+01 1.802248196272258838e+02 8.316118459824894948e-02 1.651747093065638120e-02
5.100000000000000000e+01 1.826893504318975374e+02 5.848457674365064446e-02 1.758703875073957049e-02
5.200000000000000000e+01 1.851805354184860732e+02 3.204571633698369976e-02 1.869664828542589446e-02
5.300000000000000000e+01 1.876966123760871881e+02 3.849699090231547757e-03 1.984613261721047267e-02
5.400000000000000000e+01 1.902338108639494578e+02 -2.609286500480532262e-02 2.103522507241080072e-02
5.500000000000000000e+01 1.927881531406255533e+02 -5.777106490666895217e-02 2.226363161245045394e-02
5.600000000000000000e+01 1.953617127274978031e+02 -9.119125930696622695e-02 2.353127734680798486e-02
