# l   Dl_TT   Dl_TE   Dl_EE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.752164001727352058e+02 3.067843304932995063e-01 4.418402120547474873e-03
3.000000000000000000e+00 1.575352226956084962e+02 3.652298435251971065e-01 5.303410442880163687e-03
4.000000000000000000e+00 1.436304076591175374e+02 3.470123266283159369e-01 4.212916690151514640e-03
5.000000000000000000e+00 1.336583582483463886e+02 2.956997573136941337e-01 2.573742849640504177e-03
6.000000000000000000e+00 1.266727488973258033e+02 2.368884089792127057e-01 1.359432451537913875e-03
7.000000000000000000e+00 1.218874140877330063e+02 1.851337508926637621e-01 7.589401329997715094e-04
8.000000000000000000e+00 1.186709511032462387e+02 1.466100422326506170e-01 5.338827640274338305e-04
9.000000000000000000e+00 1.165635191115471514e+02 1.224506823472465006e-01 4.354681721370488087e-04
1.000000000000000000e+01 1.152937807212522472e+02 1.108230179021906237e-01 3.619825213303721600e-04
1.100000000000000000e+01 1.146629853315653804e+02 1.085470615160231134e-01 3.107088519122136591e-04
1.200000000000000000e+01 1.144880400750169827e+02 1.123507719384811143e-01 2.924825282718301932e-04
1.300000000000000000e+01 1.146712446146400879e+02 1.195487914138422675e-01 3.008410472512437588e-04
1.400000000000000000e+01 1.151859633936547738e+02 1.282092796005144530e-01 3.248947199261015316e-04
1.500000000000000000e+01 1.159276834398994822e+02 1.372144801987386087e-01 3.631093199644524713e-04
1.600000000000000000e+01 1.168301785318693504e+02 1.462913960876227604e-01 4.208748697143956173e-04
1.700000000000000000e+01 1.179361005054385174e+02 1.555895617667956976e-01 5.020080803370928491e-04
1.800000000000000000e+01 1.191707267061865423e+02 1.652819908819850026e-01 6.058963833264131198e-04
1.900000000000000000e+01 1.205325531123221481e+02 1.755244489534645846e-01 7.316696854292988267e-04
2.000000000000000000e+01 1.219949235091088298e+02 1.863808678570658683e-01 8.780635027808606722e-04
2.100000000000000000e+01 1.235475679682944872e+02 1.975083304186040778e-01 1.045117598445721068e-03
2.200000000000000000e+01 1.251561150685423485e+02 2.083657338405756343e-01 1.233062864110227863e-03
2.300000000000000000e+01 1.268404888066126830e+02 2.186117239789886202e-01 1.442195249980608544e-03
2.400000000000000000e+01 1.286118445867911362e+02 2.279551714374437599e-01 1.672981602396300845e-03
2.500000000000000000e+01 1.304555564619966503e+02 2.362097321201607758e-01 1.927328887297989493e-03
2.600000000000000000e+01 1.323347857517697435e+02 2.432640852886709670e-01 2.207668527718386221e-03
2.700000000000000000e+01 1.342511426064797035e+02 2.492152274861356709e-01 2.515927748266518025e-03
2.800000000000000000e+01 1.362075153031488526e+02 2.542294965931796713e-01 2.853820171647429745e-03
2.900000000000000000e+01 1.382100453227209869e+02 2.583173883867477261e-01 3.222566738220745009e-03
3.000000000000000000e+01 1.402525088690964878e+02 2.614464979717421311e-01 3.623149120364744635e-03
3.100000000000000000e+01 1.423182961361147534e+02 2.635691487182099668e-01 4.056466462703812656e-03
3.200000000000000000e+01 1.444128919400369000e+02 2.645546375165379605e-01 4.523531493614667276e-03
3.300000000000000000e+01 1.465409512245470012e+02 2.642285084192631528e-01 5.025333976370317812e-03
3.400000000000000000e+01 1.487003881342061788e+02 2.624174861532694303e-01 5.562817400337218519e-03
3.500000000000000000e+01 1.508955641569550039e+02 2.590526962768899266e-01 6.136997739957753863e-03
3.600000000000000000e+01 1.531269928165972374e+02 2.541024406944939473e-01 6.748879103505598352e-03
3.700000000000000000e+01 1.553901029880649958e+02 2.475479101645016722e-01 7.399403102873907886e-03
3.800000000000000000e+01 1.576860462226583479e+02 2.393908265046411354e-01 8.089393839059625876e-03
3.900000000000000000e+01 1.600132131638673059e+02 2.296496626299039945e-01 8.819587617471813523e-03
4.000000000000000000e+01 1.623635203621913377e+02 2.183586871486520864e-01 9.590641710621350402e-03
4.100000000000000000e+01 1.647266322240040495e+02 2.055458853369778460e-01 1.040316471948337859e-02
4.200000000000000000e+01 1.671058197408938781e+02 1.911560493302632280e-01 1.125783075644265670e-02
4.300000000000000000e+01 1.695061861061834350e+02 1.751040714418267696e-01 1.215529458252673396e-02
4.400000000000000000e+01 1.719299490379766553e+02 1.572949873275680255e-01 1.309615757521997992e-02
4.500000000000000000e+01 1.743776884863353303e+02 1.376389295245670497e-01 1.408091787160664979e-02
4.600000000000000000e+01 1.768532570940161293e+02 1.161030437083866301e-01 1.510980840171149454e-02
4.700000000000000000e+01 1.793598162169765544e+02 9.267384843709192133e-02 1.618290655129196731e-02
4.800000000000000000e+01 1.818981975980852326e+02 6.734306425070681057e-02 1.730017264088387630e-02
4.900000000000000000e+01 1.844666862733459993e+02 4.010778515454740956e-02 1.846144490366856752e-02
5.000000000000000000e+01 1.870623727738041566e+02 1.096373876152572334e-02 1.966654323866165455e-02
5.100000000000000000e+01 1.896861460934362356e+02 -2.011748787673597882e-02 2.091562532264792940e-02
5.200000000000000000e+01 1.923386807460529155e+02 -5.317155947226850227e-02 2.220891847974122701e-02
5.300000000000000000e+01 1.950188460762431930e+02 -8.823517156127341776e-02 2.354661944885241831e-02
5.400000000000000000e+01 1.977235630148068140e+02 -1.253462042603672444e-01 2.492889448039525141e-02
5.500000000000000000e+01 2.004495264163493857e+02 -1.645331889372413925e-01 2.635575054663411368e-02
5.600000000000000000e+01 2.031992012760116211e+02 -2.057802917398017795e-01 2.782661128510239418e-02
