# l   cl_TT   cl_TE   cl_EE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.326777199319352576e+02 3.372439920846654893e-01 3.978251643411642897e-03
3.000000000000000000e+00 1.255415128842016088e+02 3.799082192245268885e-01 5.106093142244490408e-03
4.000000000000000000e+00 1.187787915094542797e+02 3.556235858241842407e-01 4.417450282350252402e-03
5.000000000000000000e+00 1.137108589782427117e+02 3.032095891817971900e-01 2.947699951175697906e-03
6.000000000000000000e+00 1.102213111409222392e+02 2.445310202124882648e-01 1.649307749224965085e-03
7.000000000000000000e+00 1.079971606700100608e+02 1.923092129571878084e-01 8.920691908225986079e-04
8.000000000000000000e+00 1.066505948102003600e+02 1.521856935855926962e-01 5.753471737034764402e-04
9.000000000000000000e+00 1.060036749253484345e+02 1.254251358574546005e-01 4.615239999937009426e-04
1.000000000000000000e+01 1.058798943342963810e+02 1.107494064507286158e-01 3.949747539325403436e-04
1.100000000000000000e+01 1.061185020537971866e+02 1.056641557904513251e-01 3.362707907887699200e-04
1.200000000000000000e+01 1.066995122035208539e+02 1.072676704164156891e-01 2.990680258542289041e-04
1.300000000000000000e+01 1.074923929377577991e+02 1.129039697747593607e-01 2.925387118840845147e-04
1.400000000000000000e+01 1.084379337841597533e+02 1.206189007064980001e-01 3.087422166951918801e-04
1.500000000000000000e+01 1.095604586540687109e+02 1.291413240798746365e-01 3.371328945678996524e-04
1.600000000000000000e+01 1.108258806250678958e+02 1.377961088051860294e-01 3.762150319463064964e-04
1.700000000000000000e+01 1.121747144896567079e+02 1.464883619117595959e-01 4.315134368172326268e-04
1.800000000000000000e+01 1.136162297891854109e+02 1.553253106277942275e-01 5.079732174327997347e-04
1.900000000000000000e+01 1.151574522137427294e+02 1.645053512005212326e-01 6.059831949428658203e-04
2.000000000000000000e+01 1.167459121129719222e+02 1.742186518330721134e-01 7.238313814770488182e-04
2.100000000000000000e+01 1.183932384467646841e+02 1.844038613806353311e-01 8.609649557211075926e-04
2.200000000000000000e+01 1.201008592722136967e+02 1.948502560416693896e-01 1.016910786039526213e-03
2.300000000000000000e+01 1.218639386169622441e+02 2.052762789578956582e-01 1.191832241670705891e-03
2.400000000000000000e+01 1.236562738226464404e+02 2.153228059586426990e-01 1.385947188834839262e-03
2.500000000000000000e+01 1.254808874041131475e+02 2.246407615828714677e-01 1.599560764513323179e-03
2.600000000000000000e+01 1.273368608970855149e+02 2.329066741884015523e-01 1.833208614707514074e-03
2.700000000000000000e+01 1.292321022565552653e+02 2.400895437285175960e-01 2.088836219137295714e-03
2.800000000000000000e+01 1.311669544869002380e+02 2.462677721934456165e-01 2.368825371724669459e-03
2.900000000000000000e+01 1.331442996466572595e+02 2.514881927462742084e-01 2.674669746239633199e-03
3.000000000000000000e+01 1.351544694461808547e+02 2.558131859322573254e-01 3.007588340891268613e-03
3.100000000000000000e+01 1.371779119427968681e+02 2.593095500294833045e-01 3.368723096536309445e-03
3.200000000000000000e+01 1.392192636027454569e+02 2.619374950540162006e-01 3.758942558491973514e-03
3.300000000000000000e+01 1.412835796695553654e+02 2.636196991106207199e-01 4.178948768710504143e-03
3.400000000000000000e+01 1.433691238286817793e+02 2.642641202383173571e-01 4.629401662155801546e-03
3.500000000000000000e+01 1.454771260271010647e+02 2.637470923101126741e-01 5.111212228330227515e-03
3.600000000000000000e+01 1.476037600275359409e+02 2.619220548173189500e-01 5.625344545284062699e-03
3.700000000000000000e+01 1.497416563204131990e+02 2.586517752492004107e-01 6.172715439338431580e-03
3.800000000000000000e+01 1.518970449562471003e+02 2.539086209527660620e-01 6.754122674184416183e-03
3.900000000000000000e+01 1.540772031213922730e+02 2.477077122245351926e-01 7.370287332327263470e-03
4.000000000000000000e+01 1.562852459768538154e+02 2.400814017693645996e-01 8.021867958201488874e-03
4.100000000000000000e+01 1.585208539673030259e+02 2.310654815236752868e-01 8.709474422757023868e-03
4.200000000000000000e+01 1.607839061912515604e+02 2.206499192490779526e-01 9.433724512896462383e-03
4.300000000000000000e+01 1.630712129350349358e+02 2.088138239948352792e-01 1.019519906496126234e-02
4.400000000000000000e+01 1.653750104829499605e+02 1.955389019167167175e-01 1.099442300716548838e-02
4.500000000000000000e+01 1.676866443887833213e+02 1.808027511869634285e-01 1.183187118754337915e-02
4.600000000000000000e+01 1.700098799942759342e+02 1.645563337386226621e-01 1.270799444182307836e-02
4.700000000000000000e+01 1.723508872102391933e+02 1.467397847618832352e-01 1.362319662223387441e-02
4.800000000000000000e+01 1.747143380861288904e+02 1.272881753339651645e-01 1.457782447758737381e-02
4.900000000000000000e+01 1.771032399725642676e+02 1.061311352972919703e-01 1.557216538691492090e-02
5.000000000000000000e+01 1.795191188479773814e+02 8.320494862234562028e-02 1.660642890201557281e-02
5.100000000000000000e+01 1.819630150260451842e+02 5.849358493498596490e-02 1.768069072667663791e-02
5.200000000000000000e+01 1.844344693329713891e+02 3.199815365520181087e-02 1.879492961369916629e-02
5.300000000000000000e+01 1.869310497734020942e+02 3.725609782807874464e-03 1.994903927050072773e-02
5.400000000000000000e+01 1.894482011712571250e+02 -2.631103628392720759e-02 2.114282533081918158e-02
5.500000000000000000e+01 1.919812415290548131e+02 -5.809819273004264428e-02 2.237606200652886290e-02
5.600000000000000000e+01 1.945322763241483415e+02 -9.164018137563043065e-02 2.364868546116855735e-02
