# l   cl_TT   cl_TE   cl_EE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.316950821819959856e+02 3.310327095347627147e-01 3.856214772907654281e-03
3.000000000000000000e+00 1.246661542654779851e+02 3.726957568028027024e-01 5.016236786332977336e-03
4.000000000000000000e+00 1.180145619953846250e+02 3.493347969946905551e-01 4.415172331125422414e-03
5.000000000000000000e+00 1.130295708104962387e+02 2.983653545773768401e-01 3.001666681430117684e-03
6.000000000000000000e+00 1.096127266618306066e+02 2.411861589457018895e-01 1.706391452161507916e-03
7.000000000000000000e+00 1.073988332937964003e+02 1.901195445073238233e-01 9.277648788427429131e-04
8.000000000000000000e+00 1.061205705807229833e+02 1.504803464426585358e-01 5.968861576000196543e-04
9.000000000000000000e+00 1.055420326877691082e+02 1.234434195142080776e-01 4.822395910906044432e-04
1.000000000000000000e+01 1.054579448650886633e+02 1.078742789339244418e-01 4.156881192600200402e-04
1.100000000000000000e+01 1.057994100144839820e+02 1.014087894346249741e-01 3.474454828866326353e-04
1.200000000000000000e+01 1.064374136764763108e+02 1.013091509092861192e-01 2.928147648941683136e-04
1.300000000000000000e+01 1.073165877559644059e+02 1.051630384388315964e-01 2.689454514795140737e-04
1.400000000000000000e+01 1.083820538262437481e+02 1.110974496916211363e-01 2.724056824405166727e-04
1.500000000000000000e+01 1.096298807317833450e+02 1.178512463750038819e-01 2.905378670357504876e-04
1.600000000000000000e+01 1.109984972770442369e+02 1.248046047364166078e-01 3.170205687705699728e-04
1.700000000000000000e+01 1.124980926930762308e+02 1.317298675437000577e-01 3.547778147473531563e-04
1.800000000000000000e+01 1.140757257625386671e+02 1.387300288319300023e-01 4.097084670396022518e-04
1.900000000000000000e+01 1.157421394902677036e+02 1.460330072512881217e-01 4.831768073073269831e-04
2.000000000000000000e+01 1.174855025986292674e+02 1.538574021010186699e-01 5.741617874035112156e-04
2.100000000000000000e+01 1.193104458460303192e+02 1.621919765740047759e-01 6.814642949025890087e-04
2.200000000000000000e+01 1.211972279515529607e+02 1.708858394290888039e-01 8.036262783300300236e-04
2.300000000000000000e+01 1.231470564335206603e+02 1.797013868949138560e-01 9.411651308692189910e-04
2.400000000000000000e+01 1.251486487150351792e+02 1.883194569968704990e-01 1.094974070769996711e-03
2.500000000000000000e+01 1.272083306976300179e+02 1.964334900294651687e-01 1.264796750278263885e-03
2.600000000000000000e+01 1.293216672688013489e+02 2.037375532526887745e-01 1.450189896064710444e-03
2.700000000000000000e+01 1.314794177117864251e+02 2.100970031878184874e-01 1.652585927366108636e-03
2.800000000000000000e+01 1.336631500163333044e+02 2.154525928689490499e-01 1.874014656205419014e-03
2.900000000000000000e+01 1.358819998070783299e+02 2.198351877036819613e-01 2.115782799924877285e-03
3.000000000000000000e+01 1.381435778934873326e+02 2.233335006320920912e-01 2.379003402424274220e-03
3.100000000000000000e+01 1.404454758791210054e+02 2.260483352316098316e-01 2.664764602304000099e-03
3.200000000000000000e+01 1.427900502168660353e+02 2.279747650774413548e-01 2.973949700953285903e-03
3.300000000000000000e+01 1.451725992257314033e+02 2.290766466490173348e-01 3.307341823203828555e-03
3.400000000000000000e+01 1.475820006199845125e+02 2.293022881144216873e-01 3.665672063723366455e-03
3.500000000000000000e+01 1.500211200897970514e+02 2.285343532566262992e-01 4.049645814469945634e-03
3.600000000000000000e+01 1.524919105157341335e+02 2.266200712767936776e-01 4.459916752411537122e-03
3.700000000000000000e+01 1.549920237041871189e+02 2.234128179268876635e-01 4.897107527118133366e-03
3.800000000000000000e+01 1.575244040182003573e+02 2.188755208667671204e-01 5.361921775937233264e-03
3.900000000000000000e+01 1.600897592238247000e+02 2.130113015181997194e-01 5.855063699272317762e-03
4.000000000000000000e+01 1.626832655854692860e+02 2.058368391578397627e-01 6.377205223824736029e-03
4.100000000000000000e+01 1.652978154348353144e+02 1.973736692564121986e-01 6.928974453543275056e-03
4.200000000000000000e+01 1.679363965623848287e+02 1.876167026733435717e-01 7.510921880418973233e-03
4.300000000000000000e+01 1.706027868582110045e+02 1.765568370182685753e-01 8.123539407542455446e-03
4.400000000000000000e+01 1.732977866178859472e+02 1.641897544205043191e-01 8.767265885420193541e-03
4.500000000000000000e+01 1.760203634845877900e+02 1.505080540498469899e-01 9.442517580481342779e-03
4.600000000000000000e+01 1.787722167054664908e+02 1.354744653954177980e-01 1.014979722822450560e-02
4.700000000000000000e+01 1.815540567738953257e+02 1.190409007414736792e-01 1.088961268461385162e-02
4.800000000000000000e+01 1.843640561539392593e+02 1.011554949333990649e-01 1.166244547453128277e-02
4.900000000000000000e+01 1.871976267772873257e+02 8.176230404325268708e-02 1.246874983287393247e-02
5.000000000000000000e+01 1.900496588485573568e+02 6.080923379303333071e-02 1.330891122631495081e-02
5.100000000000000000e+01 1.929224698860234071e+02 3.827506101585467085e-02 1.418311087020305943e-02
5.200000000000000000e+01 1.958196287479460409e+02 1.414922598987930664e-02 1.509142277878517194e-02
5.300000000000000000e+01 1.987435787607646489e+02 -1.157567235465608961e-02 1.603384827264094439e-02
5.400000000000000000e+01 2.016955310423073797e+02 -3.890379048717766686e-02 1.701031311298802778e-02
5.500000000000000000e+01 2.046759143761223356e+02 -6.783897729286016143e-02 1.802073886086363874e-02
5.600000000000000000e+01 2.076861000938347672e+02 -9.839463642521996400e-02 1.906528427875035098e-02
