# k [1/Mpc]   d_b d_idm_drmd  d_ncdm[0] 
1.047714807896046352e-05 9.927532164947792167e-04 9.927532392783593607e-04 9.927532392783539397e-04 9.936645554372103371e-04
2.425865670102848729e-05 5.322131833103738684e-03 5.322132487640509821e-03 5.322132487640351961e-03 5.326263078423871047e-03
3.809347958375449350e-05 1.312344699723989004e-02 1.312345097412478956e-02 1.312345097412381464e-02 1.313028369090093843e-02
5.202423462363821457e-05 2.447654101756659845e-02 2.447655483672117951e-02 2.447655483671778293e-02 2.448020690939122640e-02
6.609432399906773595e-05 3.950539491592808261e-02 3.950543086372200474e-02 3.950543086371312990e-02 3.949192433118776935e-02
8.034837693025915107e-05 5.838066517941027656e-02 5.838074354532698379e-02 5.838074354530767285e-02 5.832483223872811373e-02
9.483270821592908748e-05 8.132330818553035190e-02 8.132345991976340505e-02 8.132345991972593502e-02 8.118482373676334796e-02
1.095957994619066927e-04 1.086094052824801148e-01 1.086096752248664893e-01 1.086096752247995567e-01 1.083282515936399015e-01
1.246888099615321125e-04 1.405763363175635550e-01 1.405767871929737567e-01 1.405767871928616242e-01 1.400669528229636085e-01
1.401661242203100087e-04 1.776304933793026730e-01 1.776312107632433135e-01 1.776312107630644010e-01 1.767744495480095268e-01
1.560859430775380534e-04 2.202567782026803311e-01 2.202578768111604912e-01 2.202578768108854335e-01 2.188934663550340110e-01
1.725109251804780321e-04 2.690301837051546352e-01 2.690318152561280707e-01 2.690318152557174547e-01 2.669449268131119379e-01
1.895088850932472719e-04 3.246298240044082073e-01 3.246321872949375908e-01 3.246321872943400688e-01 3.215386113278320135e-01
2.071535534087100663e-04 3.878558525913283206e-01 3.878592062447079325e-01 3.878592062438547261e-01 3.833856748005299853e-01
2.255254026532327977e-04 4.596497931721848507e-01 4.596544718800086304e-01 4.596544718788059258e-01 4.533132331402855986e-01
2.447125402309895657e-04 5.411188764936019080e-01 5.411253118616686786e-01 5.411253118599572698e-01 5.322812023214447130e-01
2.648116657527607503e-04 6.335651916457747390e-01 6.335739384982146394e-01 6.335739384958207765e-01 6.214015885156874974e-01
2.859290843315902470e-04 7.385202557629143572e-01 7.385320259717210734e-01 7.385320259684182709e-01 7.219602617328970684e-01
3.081817591873890435e-04 8.577860772052693372e-01 8.578017824807965264e-01 8.578017824762881327e-01 8.354412336796097627e-01
3.316983754668269085e-04 9.934835494582825444e-01 9.935043560282859065e-01 9.935043560221826775e-01 9.635531824644059107e-01
3.566203717865996459e-04 1.148109117513774091e+00 1.148136514990016455e+00 1.148136514981805023e+00 1.108257695625416650e+00
3.831028759476711875e-04 1.324600515366356035e+00 1.324636403155552866e+00 1.324636403144556995e+00 1.271798252880081304e+00
4.113154561310630839e-04 1.526412150734843154e+00 1.526458945879560991e+00 1.526458945864890282e+00 1.456728433926527622e+00
4.414425689055158559e-04 1.757600170686152818e+00 1.757660939158064428e+00 1.757660939138535827e+00 1.665937047559780559e+00
4.736835519768956395e-04 2.022916486132094960e+00 2.022995105730422960e+00 2.022995105704465502e+00 1.902667087870340001e+00
5.082519761235865111e-04 2.327909849999897141e+00 2.328011196611235789e+00 2.328011196576762476e+00 2.170524548629098938e+00
5.453741432546232787e-04 2.679030340874493543e+00 2.679160510573770360e+00 2.679160510527996752e+00 2.473472436307746936e+00
5.852865054531266936e-04 3.083731546330631179e+00 3.083898089368790618e+00 3.083898089307996138e+00 2.815805205803609379e+00
6.282317961029151810e-04 3.550562127566315507e+00 3.550774306276903047e+00 3.550774306196124552e+00 3.202099705913258987e+00
6.744537237042955895e-04 4.089235804620516390e+00 4.089504828870595077e+00 4.089504828763211641e+00 3.637140948429713916e+00
7.241901953067874428e-04 4.710666482307993341e+00 4.711005700141136288e+00 4.711005699998318086e+00 4.125825216772009973e+00
7.776652156325312287e-04 5.426954105359052427e+00 5.427379114361523982e+00 5.427379114171531072e+00 4.673048611979986333e+00
8.350798404805300813e-04 6.251307716134746784e+00 6.251836336907357961e+00 6.251836336654656989e+00 5.283595096421461967e+00
8.966028169947614810e-04 7.197895707151420019e+00 7.198547785264135079e+00 7.198547784928241988e+00 5.962041630816131033e+00
9.623617633159636158e-04 8.281620602738083647e+00 8.282417614090535452e+00 8.282417613644643239e+00 6.712696162787666232e+00
1.032435856466348530e-03 9.517824454678029511e+00 9.518788927233348574e+00 9.518788926642631765e+00 7.539572553305929681e+00
1.106850948344114327e-03 1.092194232340730942e+01 1.092309719250458855e+01 1.092309719172421723e+01 8.446387256215531991e+00
1.185577789666155540e-03 1.250913076979058403e+01 1.251049865745853396e+01 1.251049865643127212e+01 9.436539083959043950e+00
1.268533641495191676e-03 1.429390180792606380e+01 1.429550461674320516e+01 1.429550461539681727e+01 1.051301711448619969e+01
1.355587080258925919e-03 1.628979590694113355e+01 1.629165467263387157e+01 1.629165467087810271e+01 1.167819004609643052e+01
1.446565370112438877e-03 1.850911826639731572e+01 1.851125369164209999e+01 1.851125368936551752e+01 1.293346431682076236e+01
1.541263487604211096e-03 2.096275451879336771e+01 2.096518799718341342e+01 2.096518799424976365e+01 1.427885911785233297e+01
1.639453789695931828e-03 2.366006970679147869e+01 2.366282509381201749e+01 2.366282509005660017e+01 1.571260617648027491e+01
